Open_time,Open,High,Low,Close,Volume,Close_time,Quote_asset_volume,Number_of_trades,Taker_buy_base_asset_volume,Taker_buy_quote_asset_volume,Ignore,label
2024-02-22 23:00:00,51479.10,51680.00,51246.70,51306.0,4219.458,1708646399999,217080464.12050,1883,2083.072,107541255.26740,0,0
2024-02-23 00:00:00,51316.90,51600.10,51273.40,51404.9,3632.334,1708649999999,186943629.84170,2272,1830.752,94448705.37020,0,0
2024-02-23 01:00:00,51402.00,51661.00,51273.50,51387.4,3973.571,1708653599999,204449426.58610,2846,1954.657,100823420.91620,0,0
2024-02-23 02:00:00,51335.30,51680.00,51251.00,51251.0,5231.876,1708657199999,268954390.12360,2676,2712.113,139678742.22370,0,0
2024-02-23 03:00:00,51251.00,51496.00,51168.30,51168.3,4186.942,1708660799999,214658962.41920,7556,1993.290,102401617.53620,0,0
2024-02-23 04:00:00,51271.70,51578.40,51168.30,51235.6,4779.379,1708664399999,245378854.16110,7282,2351.708,121014891.54250,0,0
2024-02-23 05:00:00,51239.50,51578.00,51168.30,51210.0,3986.23,1708667999999,204495464.30060,5807,1950.840,100302996.64330,0,0
2024-02-23 06:00:00,51206.20,51598.90,51190.00,51330.0,3755.588,1708671599999,192771206.80200,6894,1909.382,98217489.87550,0,0
2024-02-23 07:00:00,51328.80,51590.00,51168.30,51170.2,4192.75,1708675199999,214958100.71250,4107,1723.260,88531503.71330,0,0
2024-02-23 08:00:00,51279.80,51680.00,51009.00,51649.0,4684.314,1708678799999,240487908.57460,2136,1974.006,101818353.27110,0,0
2024-02-23 09:00:00,51010.00,51689.90,51010.00,51158.3,4701.323,1708682399999,241240784.75570,2916,2060.720,106443434.27860,0,0
2024-02-23 10:00:00,51046.00,51659.80,51030.00,51507.6,4824.549,1708685999999,247475517.38640,4818,2093.636,108036898.66950,0,0
2024-02-23 11:00:00,51250.90,51674.90,51086.00,51200.2,5441.218,1708689599999,279751171.39080,2515,2925.027,150818858.87550,0,0
2024-02-23 12:00:00,51250.00,51672.00,51187.90,51250.0,4147.25,1708693199999,213028597.82930,1342,2039.301,105080372.13420,0,0
2024-02-23 13:00:00,51460.00,51674.90,51200.00,51275.0,3815.15,1708696799999,196097294.95720,1535,1675.082,86419569.85590,0,0
2024-02-23 14:00:00,51497.50,51660.00,51200.00,51660.0,3808.81,1708700399999,195847836.29630,1538,1928.842,99408536.18600,0,0
2024-02-23 15:00:00,51660.00,51660.00,51249.60,51250.0,4280.211,1708703999999,220197448.74140,1940,2071.704,106896716.07410,0,0
2024-02-23 16:00:00,51499.80,51621.30,51200.00,51492.9,3787.54,1708707599999,194536925.13630,4509,1889.809,97352193.65590,0,0
2024-02-23 17:00:00,51318.70,51492.90,51200.00,51212.5,4702.745,1708711199999,241566224.33130,2146,2742.041,141171517.97620,0,0
2024-02-23 18:00:00,51485.70,51650.00,51020.10,51027.6,3793.872,1708714799999,194773330.31200,7552,1873.848,96481277.80010,0,0
2024-02-23 19:00:00,51415.90,51749.90,51009.00,51369.8,3548.935,1708718399999,182230896.63590,8380,1686.846,87098981.12230,0,0
2024-02-23 20:00:00,51369.80,51640.00,51160.00,51230.0,4453.124,1708721999999,228953100.84410,6626,2198.459,113417198.06210,0,0
2024-02-23 21:00:00,51319.40,51639.80,51210.00,51230.0,4306.522,1708725599999,221449862.19300,7179,2150.145,110968515.48890,0,0
2024-02-23 22:00:00,51550.00,51639.80,51230.00,51259.0,3262.718,1708729199999,167737367.32510,5224,1606.939,82869501.86230,0,0
2024-02-23 23:00:00,51361.80,51639.80,51240.70,51606.7,4275.449,1708732799999,219883135.17390,4266,2009.831,103634872.03750,0,0
2024-02-24 00:00:00,51600.00,51639.90,51333.00,51612.7,3168.312,1708736399999,163187752.88120,2522,1603.673,82727798.37540,0,0
2024-02-24 01:00:00,51470.20,51612.70,51210.00,51612.5,4292.481,1708739999999,220598070.53030,4158,1934.525,99743588.27480,0,0
2024-02-24 02:00:00,51210.00,51612.70,51004.30,51471.8,4013.299,1708743599999,206097487.05050,7192,1944.507,100274952.43830,0,0
2024-02-24 03:00:00,51391.00,51640.00,51000.00,51004.3,3485.86,1708747199999,178728572.44130,7432,1758.011,90493790.82930,0,0
2024-02-24 04:00:00,51204.70,51473.90,50963.50,51000.0,3592.215,1708750799999,183877261.80620,6497,1771.377,91000540.35950,0,0
2024-02-24 05:00:00,51057.00,51600.00,51000.00,51004.3,4322.08,1708754399999,221643581.54110,7847,2141.537,110310504.88710,0,0
2024-02-24 06:00:00,51093.10,51601.60,51000.00,51090.0,3752.488,1708757999999,192487855.85220,7551,1862.775,95940160.93890,0,0
2024-02-24 07:00:00,51090.00,51601.70,50963.50,51000.0,3726.535,1708761599999,190910277.28130,7202,1867.379,96018555.16520,0,0
2024-02-24 08:00:00,51200.00,51600.00,50922.80,51150.0,3807.747,1708765199999,195044420.53960,6636,1933.004,99372237.51170,0,0
2024-02-24 09:00:00,51150.00,51601.70,50963.50,51333.3,3917.414,1708768799999,200744704.76890,7350,1928.677,99203038.72850,0,0
2024-02-24 10:00:00,51050.00,51601.70,51046.60,51200.4,3643.298,1708772399999,186871062.89650,6139,1815.765,93433231.51130,0,0
2024-02-24 11:00:00,51200.40,51749.80,51200.00,51661.3,4464.439,1708775999999,229843941.07630,2158,2666.715,137678098.83400,0,0
2024-02-24 12:00:00,51555.00,51799.70,51422.00,51580.4,3912.468,1708779599999,201982455.22400,4622,1930.154,99875853.73050,0,0
2024-02-24 13:00:00,51686.50,51799.80,51502.10,51650.0,5272.785,1708783199999,272447462.76490,2238,1860.850,96276744.56640,0,0
2024-02-24 14:00:00,51735.00,51735.50,51452.70,51510.9,4052.216,1708786799999,208999195.32960,2837,2050.983,105916511.12740,0,0
2024-02-24 15:00:00,51510.90,51630.00,51250.00,51250.0,4130.568,1708790399999,212560298.27260,3317,2068.938,106632414.50680,0,0
2024-02-24 16:00:00,51553.20,51653.50,51250.00,51325.0,4091.76,1708793999999,210555779.81290,3989,2424.522,125081552.88580,0,0
2024-02-24 17:00:00,51260.10,51653.00,51260.10,51400.0,4494.769,1708797599999,231492967.11380,4374,2234.437,115301445.06580,0,0
2024-02-24 18:00:00,51580.70,51630.00,51290.60,51446.5,4177.743,1708801199999,215048176.60250,4728,2088.428,107715958.68510,0,0
2024-02-24 19:00:00,51446.50,51799.70,51256.20,51382.3,4847.546,1708804799999,249809866.54660,4456,2531.296,130672168.85460,0,0
2024-02-24 20:00:00,51382.30,51799.80,51260.00,51491.3,4356.713,1708808399999,224293583.32770,5077,2143.230,110618587.10230,0,0
2024-02-24 21:00:00,51473.30,51613.00,51272.00,51450.1,4123.729,1708811999999,212177690.14460,2578,2001.711,103171102.44540,0,0
2024-02-24 22:00:00,51540.60,51700.00,51332.60,51469.6,3908.255,1708815599999,201263310.75470,1126,1944.648,100257638.73250,0,0
2024-02-24 23:00:00,51420.00,51661.10,51410.40,51619.8,4521.388,1708819199999,232815226.67750,1392,2293.699,118245860.98750,0,0
2024-02-25 00:00:00,51484.40,51743.80,51410.40,51411.1,4218.583,1708822799999,217333156.86360,3546,2072.358,106960221.45150,0,0
2024-02-25 01:00:00,51536.90,51743.80,51410.40,51640.4,4011.621,1708826399999,206755709.04330,5542,1945.343,100442301.76820,0,0
2024-02-25 02:00:00,51640.40,51799.70,51440.40,51501.0,3460.79,1708829999999,178652030.15510,5173,1709.581,88393376.98950,0,1
2024-02-25 03:00:00,51561.40,51909.50,51414.30,51909.5,4301.979,1708833599999,222063485.90790,9868,2146.369,111080222.65230,0,1
2024-02-25 04:00:00,51717.60,52000.00,51414.30,51672.4,3635.895,1708837199999,187941096.50860,8751,1829.423,94806863.07620,0,1
2024-02-25 05:00:00,51768.90,52034.20,51454.90,51454.9,4226.886,1708840799999,218748296.49310,11336,2090.810,108542236.30740,0,1
2024-02-25 06:00:00,51454.90,52000.00,51414.20,51580.5,3651.509,1708844399999,188868703.25090,11903,1798.663,93377975.88240,0,1
2024-02-25 07:00:00,51808.20,51999.90,51414.10,51557.3,3216.38,1708847999999,166312434.31630,10476,1563.704,81122618.53390,0,1
2024-02-25 08:00:00,51658.30,51990.00,51414.10,51598.4,4580.861,1708851599999,236986288.44260,8667,2246.695,116523835.92700,0,1
2024-02-25 09:00:00,51600.00,51867.90,51590.80,51610.0,3448.553,1708855199999,178292504.80900,2347,1693.015,87700712.37660,0,1
2024-02-25 10:00:00,51610.00,51900.00,51414.10,51706.2,3925.533,1708858799999,202800418.36300,2805,1758.964,91129368.46360,0,1
2024-02-25 11:00:00,51732.30,51949.90,51450.00,51505.0,3401.146,1708862399999,175882504.51740,7645,1633.243,84708785.37130,0,1
2024-02-25 12:00:00,51939.90,51940.00,51500.20,51700.0,4209.417,1708865999999,217914813.66710,6535,2085.235,108160480.48320,0,1
2024-02-25 13:00:00,51880.00,51888.00,51600.10,51636.6,3443.379,1708869599999,178166573.41870,6206,1706.846,88486133.92520,0,1
