Open_time,Open,High,Low,Close,Volume,Close_time,Quote_asset_volume,Number_of_trades,Taker_buy_base_asset_volume,Taker_buy_quote_asset_volume,Ignore,SMA,RSI,Signal,TP/SP_values,Profit_per_Coin
2024-03-14 17:45:00,72544.00,72999.00,72300.10,72544.0,1063.301,2024-03-14 17:59:59.999,77267104.57600,565,538.822,39329343.02340,0,72561.53349999999,42.975434215841126,Hold,0.0,0.0
2024-03-14 18:00:00,72544.00,72999.00,72259.00,72397.8,1385.843,2024-03-14 18:14:59.999,100623945.69700,632,598.246,43637537.55160,0,72565.5225,50.1327907474835,Hold,0.0,0.0
2024-03-14 18:15:00,72350.70,72920.00,72205.70,72205.8,1110.545,2024-03-14 18:29:59.999,80550375.29300,687,559.954,40762596.84890,0,72568.595,53.494377913886105,Hold,0.0,0.0
2024-03-14 18:30:00,72205.80,72895.90,72200.40,72831.0,1116.958,2024-03-14 18:44:59.999,80994823.64950,988,537.180,39123223.85890,0,72574.507,51.67426617269878,Hold,0.0,0.0
2024-03-14 18:45:00,72300.50,72831.00,72200.20,72315.0,978.687,2024-03-14 18:59:59.999,70883577.31190,606,444.361,32297272.50290,0,72578.5395,44.747444117137434,Hold,0.0,0.0
2024-03-14 19:00:00,72315.00,72687.20,71909.00,72200.1,1248.839,2024-03-14 19:14:59.999,90202902.12240,444,585.762,42375751.57810,0,72582.625,49.28549275950099,Hold,0.0,0.0
2024-03-14 19:15:00,72200.10,72200.10,71913.00,72200.1,1151.196,2024-03-14 19:29:59.999,82953483.72650,453,566.263,40875570.08950,0,72586.7105,38.792433272868635,Hold,0.0,0.0
2024-03-14 19:30:00,72200.10,72339.50,71909.00,71964.3,1211.141,2024-03-14 19:44:59.999,87339401.15550,521,701.897,50708847.16700,0,72591.782,41.147726231561,Hold,0.0,0.0
2024-03-14 19:45:00,72299.00,72330.00,71909.10,71910.0,1405.273,2024-03-14 19:59:59.999,101392791.20810,518,748.494,54130697.93510,0,72597.40100000001,49.79487748087361,Hold,0.0,0.0
2024-03-14 20:00:00,72330.00,72330.00,71909.00,71913.0,1085.373,2024-03-14 20:14:59.999,78297283.45960,555,583.451,42199825.90940,0,72604.40550000001,41.6294259195599,Hold,0.0,0.0
2024-03-14 20:15:00,71963.30,72999.60,71878.80,72978.9,1212.877,2024-03-14 20:29:59.999,87824198.27230,739,654.734,47681969.51640,0,72616.0015,61.771759919851874,Hold,0.0,0.0
2024-03-14 20:30:00,71956.00,72978.90,71880.00,72749.1,1073.546,2024-03-14 20:44:59.999,77816830.95630,604,536.205,39094194.20610,0,72625.6465,57.72648553501982,Hold,0.0,0.0
2024-03-14 20:45:00,72236.50,72879.80,72185.90,72300.2,957.646,2024-03-14 20:59:59.999,69499216.72680,854,470.676,34290585.09690,0,72631.5945,50.00257997936013,Hold,0.0,0.0
2024-03-14 21:00:00,72300.20,72973.30,72300.20,72449.4,1264.031,2024-03-14 21:14:59.999,91857057.01960,831,802.159,58447794.84800,0,72638.6565,48.74907436792544,Hold,0.0,0.0
2024-03-14 21:15:00,72500.00,72973.00,72251.00,72350.0,1372.498,2024-03-14 21:29:59.999,99639730.03300,615,529.152,38587904.23380,0,72645.4,47.500386538164186,Hold,0.0,0.0
2024-03-14 21:30:00,72350.00,72868.00,72252.10,72816.5,879.063,2024-03-14 21:44:59.999,63739654.24290,606,432.748,31475846.45740,0,72651.9875,54.98345592611106,Hold,0.0,0.0
2024-03-14 21:45:00,72816.50,72867.80,72281.80,72799.6,922.383,2024-03-14 21:59:59.999,66926278.41040,457,453.886,33030812.93850,0,72659.79400000001,57.37493169059574,Hold,0.0,0.0
2024-03-14 22:00:00,72798.00,72887.10,72284.00,72749.8,1382.806,2024-03-14 22:14:59.999,100565464.76810,480,991.695,72227873.89430,0,72669.073,48.823324831903584,Hold,0.0,0.0
2024-03-14 22:15:00,72799.80,72886.80,72514.00,72516.0,1669.694,2024-03-14 22:29:59.999,121389525.01800,656,841.392,61313834.66760,0,72676.93400000001,53.17214822296574,Hold,0.0,0.0
2024-03-14 22:30:00,72566.70,72885.00,72513.30,72600.0,1201.418,2024-03-14 22:44:59.999,87308284.86550,373,600.110,43679870.35900,0,72687.375,56.37331463360207,Hold,0.0,0.0
2024-03-14 22:45:00,72749.10,72887.10,72401.10,72544.0,605.291,2024-03-14 22:59:59.999,43999159.11730,332,303.092,22083535.10070,0,72696.605,55.38471174020599,Hold,0.0,0.0
2024-03-14 23:00:00,72596.00,72882.90,72401.10,72849.1,1028.147,2024-03-14 23:14:59.999,74685417.09300,400,516.510,37616576.79100,0,72709.8305,63.55973763256307,Hold,0.0,0.0
2024-03-14 23:15:00,72798.20,72887.00,72401.10,72405.0,995.346,2024-03-14 23:29:59.999,72290394.09570,393,493.904,35980904.84640,0,72720.8355,56.77636622494799,Hold,0.0,0.0
2024-03-14 23:30:00,72800.00,72887.00,72402.20,72885.0,1167.019,2024-03-14 23:44:59.999,84757183.19210,454,570.215,41535347.56020,0,72734.2325,61.76926429989831,Hold,0.0,0.0
2024-03-14 23:45:00,72594.70,72885.70,72408.10,72409.1,1285.801,2024-03-14 23:59:59.999,93378406.63780,551,606.191,44166732.91560,0,72743.293,41.95061309826539,Hold,0.0,0.0
2024-03-15 00:00:00,72838.00,72884.90,72409.00,72787.3,822.030,2024-03-15 00:14:59.999,59742205.44070,582,387.376,28230028.25780,0,72755.7295,50.51792396550786,Hold,0.0,0.0
2024-03-15 00:15:00,72787.30,72882.50,72410.60,72588.0,1144.258,2024-03-15 00:29:59.999,83201729.86330,460,587.060,42739200.21580,0,72767.36600000001,54.18532953289516,Hold,0.0,0.0
