Open_time,Open,High,Low,Close,Volume,Close_time,Quote_asset_volume,Number_of_trades,Taker_buy_base_asset_volume,Taker_buy_quote_asset_volume,Ignore,SMA,RSI,Signal,TP/SP_values,Profit_per_Coin,Profit/Loss_Investment,Profit/Loss_Investment_and_fees
2024-03-20 14:00:00,65300.00,65899.50,65080.20,65898.9,830.554,2024-03-20 14:14:59.999,54437397.82260,506,470.747,31017581.88860,0,66022.57199999999,71.19260918253073,Sell,67590.0,-1691.1000000000058,-12.831018423676314,-12.836150831045785
2024-03-21 16:00:00,66903.60,67900.00,66131.00,66903.6,3718.871,2024-03-21 16:14:59.999,247000394.40130,949,559.582,37548884.80390,0,66344.09700000001,28.006056851813952,Buy,66227.1,-676.5,-5.055781751654619,-5.057804064355281
2024-03-21 16:15:00,66220.90,67900.00,66132.00,66400.0,937.663,2024-03-21 16:29:59.999,62773226.45480,935,482.946,32465016.91930,0,66350.7945,24.95260077487444,Buy,68501.0,2101.0,15.82078313253012,15.814454819277108
2024-03-23 23:00:00,66470.40,66528.30,66261.00,66528.3,84.492,2024-03-23 23:14:59.999,5611488.65200,172,40.457,2691346.37310,0,66922.0035,77.90956263899203,Sell,71500.0,-4971.699999999997,-37.36530168364438,-37.38024780431784
2024-03-23 23:15:00,66261.00,66528.40,66260.30,66528.4,65.501,2024-03-23 23:29:59.999,4347563.31500,98,26.801,1782818.04040,0,66921.8345,77.85621400705932,Sell,71201.0,-4672.600000000006,-35.11733334936663,-35.13138028270638
2024-03-26 19:15:00,69995.50,70830.00,68201.00,69802.4,952.608,2024-03-26 19:29:59.999,66619738.65210,810,465.066,32614460.13990,0,69466.03450000001,26.599651032578677,Buy,71800.0,1997.6000000000058,14.30896358864456,14.303240003209101
2024-03-26 19:30:00,69453.30,70000.00,69106.00,69790.0,294.101,2024-03-26 19:44:59.999,20445406.16130,280,140.540,9770832.09660,0,69481.65400000001,29.075692447834825,Buy,71800.0,2010.0,14.400343888809285,14.394583751253762
2024-03-26 19:45:00,69438.80,70185.00,69200.00,69760.1,175.460,2024-03-26 19:59:59.999,12248622.45590,371,127.435,8904399.98520,0,69497.125,19.82574962637898,Buy,71800.0,2039.8999999999942,14.62082193116118,14.614973602388716
2024-03-26 20:15:00,69996.00,70250.00,69200.00,69978.0,140.279,2024-03-26 20:29:59.999,9791719.44450,1026,82.879,5797965.06100,0,69530.2715,25.677396943029024,Buy,71800.0,1822.0,13.018377204264198,13.013169853382491
2024-03-26 20:30:00,69975.00,70240.00,69550.00,69552.1,42.625,2024-03-26 20:44:59.999,2971968.95350,212,18.334,1281776.83190,0,69543.054,22.859057289384708,Buy,71800.0,2247.899999999994,16.159828387640303,16.153364456285246
2024-03-26 20:45:00,69552.10,70250.00,69552.10,69743.0,39.912,2024-03-26 20:59:59.999,2781593.99720,266,13.373,935318.57230,0,69556.82400000001,26.48142688679218,Buy,71800.0,2057.0,14.746999698894513,14.741100899014954
2024-03-26 21:00:00,69939.00,70249.00,69621.10,69744.0,72.174,2024-03-26 21:14:59.999,5043227.55490,329,33.552,2349590.77070,0,69572.094,29.365014561388932,Buy,71597.6,1853.6000000000058,13.288598302362969,13.283282863042023
2024-03-26 21:15:00,69744.00,70249.00,69743.90,69743.9,72.744,2024-03-26 21:29:59.999,5087293.25030,277,27.906,1958739.18790,0,69586.314,29.36421533939331,Buy,71546.0,1802.1000000000058,12.919409439391876,12.914241675616118
2024-03-26 21:30:00,69846.00,70249.10,69743.90,69828.0,68.028,2024-03-26 21:44:59.999,4764285.49730,239,38.280,2689083.55690,0,69600.955,28.86860713698391,Buy,71444.0,1616.0,11.571289454087186,11.566660938305551
2024-03-26 21:45:00,69744.00,70249.10,69743.90,69744.0,70.092,2024-03-26 21:59:59.999,4907147.18140,396,42.339,2971118.24860,0,69615.23,22.230929989550617,Buy,72942.5,3198.5,22.93028791007112,22.92111579490709
2024-03-26 22:00:00,69759.00,70249.10,69553.00,69957.9,76.950,2024-03-26 22:14:59.999,5374999.65010,321,29.314,2056689.20510,0,69630.575,27.20457574411357,Buy,72942.5,2984.600000000006,21.331400742446572,21.322868182149595
